"","ScientificName","Longitude.X","Latitude.Y"
"16471","Hyalomma truncatum",15.83333333,-8.15
"16472","Hyalomma truncatum",14.13333333,-12.46666667
"16473","Hyalomma truncatum",12.2,-5.55
"16474","Hyalomma truncatum",15.18333333,-16.5
"16475","Hyalomma truncatum",13.95,-13.56666667
"16476","Hyalomma truncatum",15.26666667,-12.43333333
"16477","Hyalomma truncatum",16.1,-13.8
"16478","Hyalomma truncatum",14.08333333,-15.75
"16479","Hyalomma truncatum",13.68333333,-13.9
"16480","Hyalomma truncatum",15.4,-12.86666667
"16481","Hyalomma truncatum",13.25,-8.816666667
"16482","Hyalomma truncatum",17.23333333,-12.86666667
"16483","Hyalomma truncatum",13.5,-14.91666667
"16484","Hyalomma truncatum",16.11666667,-12.21666667
"16485","Hyalomma truncatum",19.08333333,-8.083333333
"16486","Hyalomma truncatum",15.2,-15.65
"16487","Hyalomma truncatum",16.23333333,-11.83333333
"16488","Hyalomma truncatum",14.68333333,-17.2
"16489","Hyalomma truncatum",15.23333333,-15.75
"16490","Hyalomma truncatum",15.51666667,-12.43333333
"16491","Hyalomma truncatum",14.55,-14.81666667
"16492","Hyalomma truncatum",14.25,-14.6
"16493","Hyalomma truncatum",16.05,-12.63333333
"16494","Hyalomma truncatum",2.416666667,11.16666667
"16495","Hyalomma truncatum",3.133333333,10.21666667
"16496","Hyalomma truncatum",2.433333333,6.35
"16497","Hyalomma truncatum",1.666666667,9.7
"16498","Hyalomma truncatum",2.733333333,10.4
"16499","Hyalomma truncatum",2.833333333,10.83333333
"16500","Hyalomma truncatum",0.916666667,10.78333333
"16501","Hyalomma truncatum",2.933333333,11.13333333
"16502","Hyalomma truncatum",3.183333333,12.06666667
"16503","Hyalomma truncatum",3.483333333,10.91666667
"16504","Hyalomma truncatum",3.383333333,11.86666667
"16505","Hyalomma truncatum",3.2,9.933333333
"16506","Hyalomma truncatum",2.616666667,9.35
"16507","Hyalomma truncatum",3.633333333,10.95
"16508","Hyalomma truncatum",3.7,10.93333333
"16509","Hyalomma truncatum",2.45,10.45
"16510","Hyalomma truncatum",2.383333333,10.18333333
"16511","Hyalomma truncatum",2.983333333,9.816666667
"16512","Hyalomma truncatum",1.266666667,10.61666667
"16513","Hyalomma truncatum",3.033333333,11.35
"16514","Hyalomma truncatum",2.6,8.683333333
"16515","Hyalomma truncatum",26.65,-21.58333333
"16516","Hyalomma truncatum",26.65,-21.58333333
"16517","Hyalomma truncatum",21.9452,-18.5429
"16518","Hyalomma truncatum",22.444,-20.1873
"16519","Hyalomma truncatum",23.107,-20.1647
"16520","Hyalomma truncatum",23.3371,-19.9407
"16521","Hyalomma truncatum",23.4236,-20.0968
"16522","Hyalomma truncatum",24.1484,-20.0729
"16523","Hyalomma truncatum",24.0335,-20.5719
"16524","Hyalomma truncatum",24.0569,-20.9366
"16525","Hyalomma truncatum",24.2882,-21.0688
"16526","Hyalomma truncatum",24.1839,-21.1518
"16527","Hyalomma truncatum",24.4342,-21.4533
"16528","Hyalomma truncatum",24.9252,-21.7658
"16529","Hyalomma truncatum",21.7624,-21.7645
"16530","Hyalomma truncatum",21.8887,-22.1989
"16531","Hyalomma truncatum",21.7568,-22.3055
"16532","Hyalomma truncatum",21.9545,-22.4545
"16533","Hyalomma truncatum",21.0999,-22.2768
"16534","Hyalomma truncatum",20.6848,-22.0488
"16535","Hyalomma truncatum",20.8763,-23.153
"16536","Hyalomma truncatum",25.1558,-17.843
"16537","Hyalomma truncatum",25.3445,-17.9904
"16538","Hyalomma truncatum",25.5909,-18.4954
"16539","Hyalomma truncatum",27.4585,-20.7658
"16540","Hyalomma truncatum",27.1078,-20.7432
"16541","Hyalomma truncatum",27.4792,-21.4578
"16542","Hyalomma truncatum",24.9666,-22.1722
"16543","Hyalomma truncatum",25.1038,-22.3252
"16544","Hyalomma truncatum",25.2722,-22.5788
"16545","Hyalomma truncatum",25.7278,-22.6654
"16546","Hyalomma truncatum",25.6495,-23.0688
"16547","Hyalomma truncatum",26.9134,-22.3864
"16548","Hyalomma truncatum",26.8834,-22.6926
"16549","Hyalomma truncatum",26.9516,-23.1654
"16550","Hyalomma truncatum",27.4685,-23.16
"16551","Hyalomma truncatum",26.881,-23.5037
"16552","Hyalomma truncatum",25.7447,-23.5641
"16553","Hyalomma truncatum",26.2347,-23.8709
"16554","Hyalomma truncatum",24.7292,-23.6327
"16555","Hyalomma truncatum",25.2845,-23.8401
"16556","Hyalomma truncatum",23.8224,-24.5041
"16557","Hyalomma truncatum",24.2878,-24.1951
"16558","Hyalomma truncatum",23.1428,-24.1895
"16559","Hyalomma truncatum",22.7527,-23.7642
"16560","Hyalomma truncatum",25.3941,-24.1486
"16561","Hyalomma truncatum",25.3539,-24.3738
"16562","Hyalomma truncatum",25.3587,-24.5336
"16563","Hyalomma truncatum",25.4181,-24.787
"16564","Hyalomma truncatum",25.4278,-24.9433
"16565","Hyalomma truncatum",25.7711,-24.39
"16566","Hyalomma truncatum",24.9374,-25.2426
"16567","Hyalomma truncatum",25.046,-25.4112
"16568","Hyalomma truncatum",25.3181,-25.6066
"16569","Hyalomma truncatum",24.3802,-25.6134
"16570","Hyalomma truncatum",26.2886,-24.6631
"16571","Hyalomma truncatum",28.415,-22.4971
"16572","Hyalomma truncatum",20.303,-23.1933
"16573","Hyalomma truncatum",20.1613,-22.9646
"16574","Hyalomma truncatum",20.0998,-22.3945
"16575","Hyalomma truncatum",20.3746,-22.1866
"16576","Hyalomma truncatum",20.5461,-22.1157
"16577","Hyalomma truncatum",20.8603,-22.0903
"16578","Hyalomma truncatum",21.7069,-21.7212
"16579","Hyalomma truncatum",21.6861,-21.6173
"16580","Hyalomma truncatum",21.7901,-21.5375
"16581","Hyalomma truncatum",22.0068,-21.6095
"16582","Hyalomma truncatum",22.0277,-21.7184
"16583","Hyalomma truncatum",27.5545,-20.7184
"16584","Hyalomma truncatum",27.5142,-21.1186
"16585","Hyalomma truncatum",28.3833,-21.9682
"16586","Hyalomma truncatum",26.6754,-22.2977
"16587","Hyalomma truncatum",26.3955,-22.4782
"16588","Hyalomma truncatum",25.8435,-23.3289
"16589","Hyalomma truncatum",26.1354,-23.6429
"16590","Hyalomma truncatum",26.1759,-23.8002
"16591","Hyalomma truncatum",26.45,-23.7644
"16592","Hyalomma truncatum",26.1448,-24.6131
"16593","Hyalomma truncatum",26.0501,-24.5293
"16594","Hyalomma truncatum",26.0174,-24.3973
"16595","Hyalomma truncatum",25.9148,-24.6247
"16596","Hyalomma truncatum",25.678,-25.1821
"16597","Hyalomma truncatum",25.7372,-25.0647
"16598","Hyalomma truncatum",25.3711,-24.9425
"16599","Hyalomma truncatum",25.1401,-25.1885
"16600","Hyalomma truncatum",25.6922,-24.6946
"16601","Hyalomma truncatum",25.054,-24.4374
"16602","Hyalomma truncatum",25.0285,-24.0419
"16603","Hyalomma truncatum",25.2586,-24.202
"16604","Hyalomma truncatum",25.515,-24.3598
"16605","Hyalomma truncatum",25.3823,-23.9252
"16606","Hyalomma truncatum",23.1444,-24.2993
"16607","Hyalomma truncatum",23.9317,-24.4666
"16608","Hyalomma truncatum",24.9386,-17.9042
"16609","Hyalomma truncatum",24.4393,-18.191
"16610","Hyalomma truncatum",23.9712,-18.5058
"16611","Hyalomma truncatum",24.3907,-18.7053
"16612","Hyalomma truncatum",21.8582,-18.426
"16613","Hyalomma truncatum",22.134,-18.7328
"16614","Hyalomma truncatum",22.2755,-18.688
"16615","Hyalomma truncatum",22.2495,-18.8811
"16616","Hyalomma truncatum",22.5606,-18.8734
"16617","Hyalomma truncatum",22.6685,-18.7654
"16618","Hyalomma truncatum",22.9171,-18.5784
"16619","Hyalomma truncatum",22.1302,-19.5721
"16620","Hyalomma truncatum",22.177,-19.692
"16621","Hyalomma truncatum",21.1078,-19.8569
"16622","Hyalomma truncatum",22.4676,-20.5906
"16623","Hyalomma truncatum",22.4057,-20.2451
"16624","Hyalomma truncatum",22.4528,-20.1288
"16625","Hyalomma truncatum",22.7053,-20.3945
"16626","Hyalomma truncatum",22.9296,-20.3211
"16627","Hyalomma truncatum",23.0842,-20.2741
"16628","Hyalomma truncatum",22.8899,-19.7637
"16629","Hyalomma truncatum",23.129,-19.4453
"16630","Hyalomma truncatum",23.59,-19.5132
"16631","Hyalomma truncatum",23.453,-19.9265
"16632","Hyalomma truncatum",23.5004,-20.2024
"16633","Hyalomma truncatum",23.7052,-20.3667
"16634","Hyalomma truncatum",23.8554,-20.2795
"16635","Hyalomma truncatum",-4.333333333,11.31666667
"16636","Hyalomma truncatum",-4.766666667,10.63333333
"16637","Hyalomma truncatum",-2.916666667,9.883333333
"16638","Hyalomma truncatum",0.283333333,13.63333333
"16639","Hyalomma truncatum",-3.516666667,10.31666667
"16640","Hyalomma truncatum",-3.416666667,12.85
"16641","Hyalomma truncatum",-4.3,11.2
"16642","Hyalomma truncatum",-1.533333333,12.33333333
"16643","Hyalomma truncatum",-0.283333333,12.71666667
"16644","Hyalomma truncatum",-3.25,10.96666667
"16645","Hyalomma truncatum",-0.033333333,14.03333333
"16646","Hyalomma truncatum",-3.766666667,11.21666667
"16647","Hyalomma truncatum",-4.416666667,11.85
"16648","Hyalomma truncatum",-0.566666667,11.8
"16649","Hyalomma truncatum",-3.55,11.18333333
"16650","Hyalomma truncatum",-3.516666667,11.5
"16651","Hyalomma truncatum",-3.616666667,11.38333333
"16652","Hyalomma truncatum",-3.01666666,10.56666667
"16653","Hyalomma truncatum",-3.7,11.23333333
"16654","Hyalomma truncatum",-3.7,11.23333333
"16655","Hyalomma truncatum",-3.266666667,10.93333333
"16656","Hyalomma truncatum",-3.383333333,12.76666667
"16657","Hyalomma truncatum",-4.816666667,10.85
"16658","Hyalomma truncatum",-4.95,10.83333333
"16659","Hyalomma truncatum",-1.516666667,12.36666667
"16660","Hyalomma truncatum",-1.15,11.16666667
"16661","Hyalomma truncatum",-4.466666667,11.46666667
"16662","Hyalomma truncatum",0.216666667,13.75
"16663","Hyalomma truncatum",-3.833333333,11.71666667
"16664","Hyalomma truncatum",-4.816666667,10.66666667
"16665","Hyalomma truncatum",-4.55,10.63333333
"16666","Hyalomma truncatum",-3.483333333,13.06666667
"16667","Hyalomma truncatum",-3.633333333,11.86666667
"16668","Hyalomma truncatum",-3.633333333,11.86666667
"16669","Hyalomma truncatum",-0.8,11.25
"16670","Hyalomma truncatum",-0.566666667,12.73333333
"16671","Hyalomma truncatum",-2.916666667,10.13333333
"16672","Hyalomma truncatum",29.95,-3.416666667
"16673","Hyalomma truncatum",13,7
"16674","Hyalomma truncatum",11.23333333,4.75
"16675","Hyalomma truncatum",14.68333333,12.71666667
"16676","Hyalomma truncatum",15.03333333,12.08333333
"16677","Hyalomma truncatum",13.4,9.3
"16678","Hyalomma truncatum",13.55,10.33333333
"16679","Hyalomma truncatum",13.6,8.083333333
"16680","Hyalomma truncatum",14.33333333,10.6
"16681","Hyalomma truncatum",11.5,3.516666667
"16682","Hyalomma truncatum",13.5,10.16666667
"16683","Hyalomma truncatum",14.33333333,10.35
"16684","Hyalomma truncatum",11.53333333,-4.166666667
"16685","Hyalomma truncatum",14.83333333,5.833333333
"16686","Hyalomma truncatum",18.58333333,4.366666667
"16687","Hyalomma truncatum",15.8,4.25
"16688","Hyalomma truncatum",15.65,5.983333333
"16689","Hyalomma truncatum",17.48333333,6.433333333
"16690","Hyalomma truncatum",15.63333333,5.966666667
"16691","Hyalomma truncatum",16.98333333,7.616666667
"16692","Hyalomma truncatum",20.05,5.733333333
"16693","Hyalomma truncatum",20.03333333,5.016666667
"16694","Hyalomma truncatum",16.03333333,3.533333333
"16695","Hyalomma truncatum",15.33333333,6.966666667
"16696","Hyalomma truncatum",42.7,11.16666667
"16697","Hyalomma truncatum",37.91666667,15.51666667
"16698","Hyalomma truncatum",39.06666667,15.33333333
"16699","Hyalomma truncatum",36.13333333,15.53333333
"16700","Hyalomma truncatum",41.93333333,9.383333333
"16701","Hyalomma truncatum",36.63333333,9.566666667
"16702","Hyalomma truncatum",43.56666667,8.216666667
"16703","Hyalomma truncatum",36.46666667,8.083333333
"16704","Hyalomma truncatum",41.53333333,5.966666667
"16705","Hyalomma truncatum",34.58333333,8.25
"16706","Hyalomma truncatum",42.11666667,9.316666667
"16707","Hyalomma truncatum",37.31666667,7.816666667
"16708","Hyalomma truncatum",36.6079,16.0293
"16709","Hyalomma truncatum",36.435,14.8317
"16710","Hyalomma truncatum",37.3918,14.0879
"16711","Hyalomma truncatum",36.4902,12.9216
"16712","Hyalomma truncatum",37.6572,12.2761
"16713","Hyalomma truncatum",37.2844,11.6789
"16714","Hyalomma truncatum",37.1113,11.193
"16715","Hyalomma truncatum",36.484,9.8461
"16716","Hyalomma truncatum",36.4771,9.2591
"16717","Hyalomma truncatum",38.1452,9.7286
"16718","Hyalomma truncatum",39.2633,13.3543
"16719","Hyalomma truncatum",39.3994,12.7393
"16720","Hyalomma truncatum",38.674,12.4978
"16721","Hyalomma truncatum",39.3262,12.1455
"16722","Hyalomma truncatum",39.1001,11.663
"16723","Hyalomma truncatum",40.9475,12.0078
"16724","Hyalomma truncatum",39.671,11.4392
"16725","Hyalomma truncatum",39.9082,10.8772
"16726","Hyalomma truncatum",39.8236,10.1719
"16727","Hyalomma truncatum",40.5684,10.1612
"16728","Hyalomma truncatum",41.7161,9.4094
"16729","Hyalomma truncatum",39.2776,9.4317
"16730","Hyalomma truncatum",38.5936,9.0519
"16731","Hyalomma truncatum",39.119,8.756
"16732","Hyalomma truncatum",39.5,8.2881
"16733","Hyalomma truncatum",37.9291,8.4355
"16734","Hyalomma truncatum",38.4272,7.6568
"16735","Hyalomma truncatum",39.0463,7.4998
"16736","Hyalomma truncatum",37.8113,6.7929
"16737","Hyalomma truncatum",37.2411,5.6504
"16738","Hyalomma truncatum",37.9926,5.094
"16739","Hyalomma truncatum",39.6713,4.836
"16740","Hyalomma truncatum",42.5955,9.3136
"16741","Hyalomma truncatum",42.1256,8.4788
"16742","Hyalomma truncatum",42.993,6.7128
"16743","Hyalomma truncatum",42.2255,5.7758
"16744","Hyalomma truncatum",43.2642,8.3117
"16745","Hyalomma truncatum",45.33333333,6.966666667
"16746","Hyalomma truncatum",-16.38333333,13.33333333
"16747","Hyalomma truncatum",-16.4555555,13.4
"16748","Hyalomma truncatum",16.68333333,13.48333333
"16749","Hyalomma truncatum",-16.58333333,13.45
"16750","Hyalomma truncatum",-16.58333333,13.45
"16751","Hyalomma truncatum",-0.216666667,5.55
"16752","Hyalomma truncatum",-0.25,11.05
"16753","Hyalomma truncatum",-1.616666667,6.683333333
"16754","Hyalomma truncatum",-1.85,9.216666667
"16755","Hyalomma truncatum",-0.833333333,9.4
"16756","Hyalomma truncatum",-1.333333333,9.7
"16757","Hyalomma truncatum",-12.85,10.06666667
"16758","Hyalomma truncatum",-8.683333333,10.98333333
"16759","Hyalomma truncatum",-10.51666667,9.266666667
"16760","Hyalomma truncatum",-9.166666667,11.41666667
"16761","Hyalomma truncatum",-16.03333333,12.08333333
"16762","Hyalomma truncatum",-16.16666667,12.26666667
"16763","Hyalomma truncatum",-16.03333333,12.06666667
"16764","Hyalomma truncatum",-3.483333333,6.733333333
"16765","Hyalomma truncatum",-4.033333333,5.316666667
"16766","Hyalomma truncatum",-4.033333333,5.333333333
"16767","Hyalomma truncatum",-3.866666667,6.1
"16768","Hyalomma truncatum",-5.15,8.233333333
"16769","Hyalomma truncatum",-4.216666667,5.933333333
"16770","Hyalomma truncatum",-4.216666667,5.933333333
"16771","Hyalomma truncatum",-5.033333333,7.683333333
"16772","Hyalomma truncatum",-3,9.266666667
"16773","Hyalomma truncatum",-8.15,7.266666667
"16774","Hyalomma truncatum",-5.933333333,6.133333333
"16775","Hyalomma truncatum",-5.1,8.183333333
"16776","Hyalomma truncatum",-5.633333333,9.45
"16777","Hyalomma truncatum",-7.55,7.4
"16778","Hyalomma truncatum",-5.633333333,7.883333333
"16779","Hyalomma truncatum",-5.616666667,5.883333333
"16780","Hyalomma truncatum",-7.566666667,9.5
"16781","Hyalomma truncatum",-3.966666667,5.25
"16782","Hyalomma truncatum",-5.916666667,6.616666667
"16783","Hyalomma truncatum",-5.216666667,7.166666667
"16784","Hyalomma truncatum",-4.916666667,8.183333333
"16785","Hyalomma truncatum",36.36666667,-1
"16786","Hyalomma truncatum",36.88333333,-1.416666667
"16787","Hyalomma truncatum",37.96666667,-1.766666667
"16788","Hyalomma truncatum",36.78333333,1.783333333
"16789","Hyalomma truncatum",35.08333333,1.25
"16790","Hyalomma truncatum",38.28333333,0.366666667
"16791","Hyalomma truncatum",39.8,-1.033333333
"16792","Hyalomma truncatum",39.51666667,2.783333333
"16793","Hyalomma truncatum",39.95,-1.1
"16794","Hyalomma truncatum",35.33333333,-1.9
"16795","Hyalomma truncatum",35.35,0.1
"16796","Hyalomma truncatum",35.35,0.1
"16797","Hyalomma truncatum",36.23333333,-0.333333333
"16798","Hyalomma truncatum",36.9,-1.25
"16799","Hyalomma truncatum",39.86666667,3.45
"16800","Hyalomma truncatum",36.91666667,1.666666667
"16801","Hyalomma truncatum",40.93333333,2.816666667
"16802","Hyalomma truncatum",35.71666667,0.05
"16803","Hyalomma truncatum",36.15,-0.483333333
"16804","Hyalomma truncatum",38.51666667,0.533333333
"16805","Hyalomma truncatum",39.63333333,-0.466666667
"16806","Hyalomma truncatum",36.86666667,0.566666667
"16807","Hyalomma truncatum",36.85,3.066666667
"16808","Hyalomma truncatum",39.48333333,1.016666667
"16809","Hyalomma truncatum",37.58333333,0.35
"16810","Hyalomma truncatum",36.78333333,-1.85
"16811","Hyalomma truncatum",35.28333333,-1.266666667
"16812","Hyalomma truncatum",35.01666667,1.483333333
"16813","Hyalomma truncatum",35.93333333,-0.133333333
"16814","Hyalomma truncatum",36.78333333,-0.05
"16815","Hyalomma truncatum",36.66666667,-0.2
"16816","Hyalomma truncatum",40.2,-2.633333333
"16817","Hyalomma truncatum",37.83333333,-1.083333333
"16818","Hyalomma truncatum",36.56666667,-1.05
"16819","Hyalomma truncatum",36.56666667,-0.933333333
"16820","Hyalomma truncatum",37.5,0.433333333
"16821","Hyalomma truncatum",36.83333333,-0.75
"16822","Hyalomma truncatum",37.41666667,0.116666667
"16823","Hyalomma truncatum",37.8,1.6
"16824","Hyalomma truncatum",39.83333333,1.3
"16825","Hyalomma truncatum",35.71666667,-1.866666667
"16826","Hyalomma truncatum",35.41666667,-1.083333333
"16827","Hyalomma truncatum",36.81666667,-0.2
"16828","Hyalomma truncatum",37.48333333,-2.533333333
"16829","Hyalomma truncatum",37.5,-2.933333333
"16830","Hyalomma truncatum",35.65,2.383333333
"16831","Hyalomma truncatum",36.43333333,-0.866666667
"16832","Hyalomma truncatum",35.96666667,1.733333333
"16833","Hyalomma truncatum",36.28333333,-1.9
"16834","Hyalomma truncatum",40.53333333,-2.383333333
"16835","Hyalomma truncatum",41.86666667,3.933333333
"16836","Hyalomma truncatum",36.86666667,-1.216666667
"16837","Hyalomma truncatum",36.7,1.1
"16838","Hyalomma truncatum",37.98333333,2.333333333
"16839","Hyalomma truncatum",37.55,-2.366666667
"16840","Hyalomma truncatum",36.45,-2.366666667
"16841","Hyalomma truncatum",40.85,-2.233333333
"16842","Hyalomma truncatum",37.36666667,-1.05
"16843","Hyalomma truncatum",36.1,-1.5
"16844","Hyalomma truncatum",39.05,3.533333333
"16845","Hyalomma truncatum",36.9,-0.316666667
"16846","Hyalomma truncatum",36.36666667,0.033333333
"16847","Hyalomma truncatum",36.43333333,-0.716666667
"16848","Hyalomma truncatum",35.56666667,-1.283333333
"16849","Hyalomma truncatum",37.06666667,0.016666667
"16850","Hyalomma truncatum",36.93333333,0.35
"16851","Hyalomma truncatum",35,1.016666667
"16852","Hyalomma truncatum",37.36666667,0.25
"16853","Hyalomma truncatum",35.51666667,-1.016666667
"16854","Hyalomma truncatum",37.06666667,-3.316666667
"16855","Hyalomma truncatum",35.85,-0.166666667
"16856","Hyalomma truncatum",36.53333333,0.266666667
"16857","Hyalomma truncatum",35.56666667,1.566666667
"16858","Hyalomma truncatum",36.96666667,-0.266666667
"16859","Hyalomma truncatum",35.15,0.666666667
"16860","Hyalomma truncatum",35.28333333,0.95
"16861","Hyalomma truncatum",37,-1.583333333
"16862","Hyalomma truncatum",36.28333333,0.8
"16863","Hyalomma truncatum",37.08333333,-1.05
"16864","Hyalomma truncatum",37.23333333,0.083333333
"16865","Hyalomma truncatum",35.05,0.633333333
"16866","Hyalomma truncatum",40.06666667,1.75
"16867","Hyalomma truncatum",37.31666667,0.983333333
"16868","Hyalomma truncatum",33.73333333,-12.75
"16869","Hyalomma truncatum",33.98333333,-13.68333333
"16870","Hyalomma truncatum",32.01666667,-13.68333333
"16871","Hyalomma truncatum",33.98333333,-13.68333333
"16872","Hyalomma truncatum",32.5,-11.5
"16873","Hyalomma truncatum",33.6,-11.9
"16874","Hyalomma truncatum",33.3866,-11.293
"16875","Hyalomma truncatum",33.4667,-11.7578
"16876","Hyalomma truncatum",33.475,-11.909
"16877","Hyalomma truncatum",33.3126,-12.056
"16878","Hyalomma truncatum",33.3849,-12.2138
"16879","Hyalomma truncatum",33.5447,-12.4324
"16880","Hyalomma truncatum",33.3066,-12.9713
"16881","Hyalomma truncatum",33.7905,-13.1888
"16882","Hyalomma truncatum",33.6344,-13.35
"16883","Hyalomma truncatum",33.7148,-13.4167
"16884","Hyalomma truncatum",33.6383,-13.8008
"16885","Hyalomma truncatum",33.7132,-13.1197
"16886","Hyalomma truncatum",33.9549,-13.8834
"16887","Hyalomma truncatum",34.2123,-14.0478
"16888","Hyalomma truncatum",33.6451,-14.4138
"16889","Hyalomma truncatum",33.3167,-14.1071
"16890","Hyalomma truncatum",34.58333333,-16.41666667
"16891","Hyalomma truncatum",-3.566666667,15.06666667
"16892","Hyalomma truncatum",-8,12.65
"16893","Hyalomma truncatum",-6.483333333,13.21666667
"16894","Hyalomma truncatum",-4.716666667,13.43333333
"16895","Hyalomma truncatum",-6.5,12.83333333
"16896","Hyalomma truncatum",-7.966666667,13.66666667
"16897","Hyalomma truncatum",-0.05,16.26666667
"16898","Hyalomma truncatum",-9.9,15.11666667
"16899","Hyalomma truncatum",-4.966666667,14.6
"16900","Hyalomma truncatum",-2.366666667,15.21666667
"16901","Hyalomma truncatum",-9.716666667,15.4
"16902","Hyalomma truncatum",-4,15.93333333
"16903","Hyalomma truncatum",-6,14.25
"16904","Hyalomma truncatum",-9.583333333,15.23333333
"16905","Hyalomma truncatum",-10.9562,14.7028
"16906","Hyalomma truncatum",-10.9839,14.5454
"16907","Hyalomma truncatum",-11.3671,14.5343
"16908","Hyalomma truncatum",-11.7246,14.5944
"16909","Hyalomma truncatum",-11.768,14.274
"16910","Hyalomma truncatum",-11.7681,13.6544
"16911","Hyalomma truncatum",-11.4245,13.5099
"16912","Hyalomma truncatum",-11.1875,12.9026
"16913","Hyalomma truncatum",-11.2686,12.3088
"16914","Hyalomma truncatum",-10.6166,13.5886
